name,number,image,date,Batch,Type,Total Score,Bonus Score,Background,Background Score,Base,Base Score,Outfit,Outfit Score,Necklace,Necklace Score,Eye,Eye Score,Beard,Beard Score,Hair,Hair Score,Hat,Hat Score,Hand_Accessories,Hand_Accessories Score,Shoulder,Shoulder Score,Mouth,Mouth Score,Unlock_Date,address
Pixel Pirates #601,601,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/601.png,1653677600066,4,Common,74.07181605267618,0,Orange,10.034090909090908,Base_Pink,5.886666666666667,Regular_Pirate_Suit_Green_And_Grey,6.898437499999999,None,1.5545774647887325,None,2.2130325814536342,Long_Beard_Ginger,9.494623655913978,White_Hair,6.54074074074074,Pirate_Hat_Pink,7.547008547008547,Whisky_Bottle,12.614285714285714,None,6.6893939393939394,Silver_Teeth,4.598958333333333,1656374400,0x8D580265C37790F4c39ccaF398Adefd341B3Ca0b
Pixel Pirates #602,602,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/602.png,1653677639755,4,Common,79.34729470261631,0,Light_Green,10.901234567901234,Base,5.553459119496855,Chest_Tattoo,20.53488372093023,None,1.5545774647887325,Eye_Patch,2.011389521640091,Long_Beard_Black,7.120967741935483,Blonde_Hair,5.77124183006536,None,4.932960893854749,Whisky_Bottle,12.614285714285714,None,6.6893939393939394,Regular_Smile,1.6629001883239172,1656374400,0xAd8C6cad4d9C7Aef18444982AE88b3eCa941dF58
Pixel Pirates #603,603,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/603.png,1653677666468,4,Common,104.44865128176184,0,Light_Pink,9.393617021276595,Base,5.553459119496855,Regular_Pirate_Suit_Green_And_Grey,6.898437499999999,Bottle_Ship_Necklace_Silver,3.396153846153846,None,2.2130325814536342,Long_Beard_Johnny,7.297520661157025,Blonde_Hair,5.77124183006536,Bandana_Hat,23.23684210526316,Sword_Gold,25.228571428571428,Corgi_Dog_Red_No_Tail,13.796874999999998,Regular_Smile,1.6629001883239172,1656374400,0x9CF40f5fB40626E3B242049da8C7e013C0CddC19
Pixel Pirates #604,604,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/604.png,1653677745956,4,Common,80.9097626896479,0,Light_Pink,9.393617021276595,Base_Green,6.844961240310077,Regular_Pirate_Suit_Green_And_Grey,6.898437499999999,None,1.5545774647887325,None,2.2130325814536342,Stubble,9.393617021276595,Regular_Hair,7.612068965517242,Pirate_Hat_Orange,8.742574257425742,Treasure_Map,12.797101449275363,Corgi_Dog_Red_No_Tail,13.796874999999998,Regular_Smile,1.6629001883239172,1656374400,0x6125fD14b6790d5F66509B7aa53274c93dAE70B9
Pixel Pirates #605,605,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/605.png,1653677773241,4,Common,67.27958158125699,0,Orange,10.034090909090908,Base,5.553459119496855,Regular_Pirate_Suit_Blue_And_Blue,6.792307692307692,None,1.5545774647887325,Eye_Patch,2.011389521640091,Long_Beard_Ginger,9.494623655913978,Blonde_Hair,5.77124183006536,Pirate_Hat_Luminous,7.064,Sword,6.952755905511811,Parrot_Yellow,10.388235294117647,Regular_Smile,1.6629001883239172,1656374400,0x6ffbb6C376d0cf590289671D652Ae92213614828
Pixel Pirates #606,606,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/606.png,1653677773869,4,Common,77.53326043676917,0,Orange,10.034090909090908,Base_Red,6.174825174825174,Regular_Pirate_Suit,6.445255474452555,None,1.5545774647887325,None,2.2130325814536342,Long_Beard,7.678260869565218,Sparrow_Hair,8.83,Pirate_Hat_Pink,7.547008547008547,Ale,15.767857142857144,None,6.6893939393939394,Silver_Teeth,4.598958333333333,1656374400,0x9CF40f5fB40626E3B242049da8C7e013C0CddC19
Pixel Pirates #607,607,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/607.png,1653677813167,4,Common,86.2417040243858,0,Light_Red,10.638554216867467,Base_Blue,6.307142857142857,Regular_Pirate_Suit_Blue_And_Blue,6.792307692307692,None,1.5545774647887325,Eye_Patch,2.011389521640091,Long_Beard_Ginger,9.494623655913978,Blonde_Hair,5.77124183006536,Bandana_Hat_Green,18.39583333333333,Sword,6.952755905511811,Corgi_Dog_Tri_Colour_No_Tail,16.660377358490567,Regular_Smile,1.6629001883239172,1656374400,0xb2Cd50531bDAA4dD53c7451d697666483a402fB3
Pixel Pirates #608,608,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/608.png,1653677840082,4,Legendary,9446.727856332667,5000,Plue,10.76829268292683,Base_Dr,882.9999999999999,Dr,882.9999999999999,None,1.5545774647887325,Eye_Patch,2.011389521640091,Dr_Mask,882.9999999999999,Blonde_Hair,5.77124183006536,None,4.932960893854749,Dr_Hook,882.9999999999999,None,6.6893939393939394,None,882.9999999999999,1656374400,0xAd8C6cad4d9C7Aef18444982AE88b3eCa941dF58
Pixel Pirates #609,609,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/609.png,1653677840586,4,Common,88.71170355390133,0,Orange,10.034090909090908,Base_Green,6.844961240310077,Regular_Pirate_Suit,6.445255474452555,Bottle_Ship_Necklace_Silver,3.396153846153846,None,2.2130325814536342,Goatee,8.83,Blonde_Hair,5.77124183006536,Bandana_Hat_Dark_Blue,23.23684210526316,None,6.898437499999999,Corgi_Dog,13.37878787878788,Regular_Smile,1.6629001883239172,1656374400,0x1467E4395F401e72877A46EdEd3DE6bFD714C572
Pixel Pirates #610,610,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/610.png,1653677866828,4,Common,98.18680043688708,0,Grey,11.177215189873415,Base_Blue,6.307142857142857,Arm_Tattoo,24.52777777777778,None,1.5545774647887325,None,2.2130325814536342,Stubble_Black,8.490384615384615,Sparrow_Hair,8.83,Pirate_Hat,7.420168067226891,Hand_Tattoo,14.966101694915254,Octopus,11.0375,Regular_Smile,1.6629001883239172,1656374400,0x0db19222F6f894bE3FDDa1Dc89fB4Bd97bECFcF5
Pixel Pirates #611,611,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/611.png,1653677867348,4,Common,73.15416399856882,0,Light_Red,10.638554216867467,Base_Pink,5.886666666666667,Regular_Pirate_Suit_Red_And_Luminous_,6.740458015267176,Bottle_Ship_Necklace_Silver,3.396153846153846,Eye_Patch,2.011389521640091,Stubble,9.393617021276595,Blonde_Hair,5.77124183006536,Pirate_Hat_Luminous,7.064,Hook_Hand,6.792307692307692,Corgi_Dog_Red_No_Tail,13.796874999999998,Regular_Smile,1.6629001883239172,1656374400,0x1467E4395F401e72877A46EdEd3DE6bFD714C572
Pixel Pirates #612,612,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/612.png,1653677880347,4,Common,67.38333446964991,0,Light_Blue,9.494623655913978,Base_Green,6.844961240310077,Regular_Pirate_Suit,6.445255474452555,None,1.5545774647887325,None,2.2130325814536342,Stubble_Black,8.490384615384615,Regular_Hair,7.612068965517242,Pirate_Hat_Luminous,7.064,None,6.898437499999999,Monkey,9.103092783505154,Regular_Smile,1.6629001883239172,1656374400,0x1467E4395F401e72877A46EdEd3DE6bFD714C572
Pixel Pirates #613,613,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/613.png,1653677934051,4,Common,81.68316332079735,0,Light_Yellow,10.149425287356324,Base_Grey,6.844961240310077,Regular_Pirate_Suit,6.445255474452555,Bottle_Ship_Necklace_Silver,3.396153846153846,Eye_Patch,2.011389521640091,None,6.844961240310077,Ginger_Hair,7.420168067226891,Pirate_Hat_Luminous,7.064,Whisky_Bottle,12.614285714285714,Parrot,9.294736842105264,Smoke_Pipe,9.597826086956522,1656374400,0xeEB072ecbe68bD123888A60cafD4c8C4fa02c65B
Pixel Pirates #614,614,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/614.png,1653677934633,4,Common,84.03491798865029,0,Light_Blue,9.494623655913978,Base_Blue,6.307142857142857,Chest_Tattoo,20.53488372093023,None,1.5545774647887325,Eye_Patch,2.011389521640091,Long_Beard_Johnny,7.297520661157025,Ginger_Hair,7.420168067226891,Pirate_Hat,7.420168067226891,Sword,6.952755905511811,Corgi_Dog,13.37878787878788,Regular_Smile,1.6629001883239172,1656374400,0x5D9A1eCe4CC5092428bFf7Dd07f9AbA61D43cD2E
Pixel Pirates #615,615,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/615.png,1653677934831,4,Common,81.44110300025135,0,Plue,10.76829268292683,Base_Green,6.844961240310077,Regular_Pirate_Suit,6.445255474452555,Bottle_Ship_Necklace_Gold,16.35185185185185,Eye_Patch,2.011389521640091,None,6.844961240310077,White_Hair,6.54074074074074,Pirate_Hat,7.420168067226891,Sword,6.952755905511811,Parrot_Green,9.597826086956522,Regular_Smile,1.6629001883239172,1656374400,0x1467E4395F401e72877A46EdEd3DE6bFD714C572
Pixel Pirates #616,616,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/616.png,1653677973771,4,Common,89.86799835626039,0,Light_Blue,9.494623655913978,Base_Red,6.174825174825174,None,6.307142857142857,None,1.5545774647887325,Eye_Patch,2.011389521640091,Stubble,9.393617021276595,Blonde_Hair,5.77124183006536,Bandana_Hat_Dark_Blue,23.23684210526316,Hand_Tattoo,14.966101694915254,Parrot,9.294736842105264,Regular_Smile,1.6629001883239172,1656374400,0xC169FD8055Ad90A4E40b4106b570D0d59db6A2d8
Pixel Pirates #617,617,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/617.png,1653677987070,4,Common,71.34728668974334,0,Light_Yellow,10.149425287356324,Base_Grey,6.844961240310077,Regular_Pirate_Suit_Red_And_Luminous_,6.740458015267176,None,1.5545774647887325,None,2.2130325814536342,None,6.844961240310077,White_Hair,6.54074074074074,Pirate_Hat_Purple,8.100917431192661,None,6.898437499999999,Corgi_Dog_Red_No_Tail,13.796874999999998,Regular_Smile,1.6629001883239172,1656374400,0x41a6ac7f4e4DBfFEB934f95F1Db58B68C76Dc4dF
